txn_id,date,time,datetime,amount,type,category,merchant,upi_id,status,note
TXN100000,2024-03-04,13:25:32,2024-03-04T13:25:32,3046.32,Debit,Dining,CafeBrew,refund@paytm,Success,Dining payment to CafeBrew
TXN100001,2025-10-14,17:04:56,2025-10-14T17:04:56,522.51,Debit,Groceries,BigMart,grocery@icici,Pending,Groceries payment to BigMart
TXN100002,2024-08-31,14:41:47,2024-08-31T14:41:47,930.21,Debit,Dining,CafeBrew,grocery@icici,Success,Dining payment to CafeBrew
TXN100003,2025-08-17,05:09:11,2025-08-17T05:09:11,964.94,Debit,Rent,CityRentals,friend1@oksbi,Success,Rent payment to CityRentals
TXN100004,2024-03-15,04:18:07,2024-03-15T04:18:07,413.14,Debit,Groceries,BigMart,shivap@ybl,Success,Groceries payment to BigMart
TXN100005,2024-10-13,04:43:08,2024-10-13T04:43:08,123.74,Debit,Utilities,PowerGrid,merchant@axis,Success,Utilities payment to PowerGrid
TXN100006,2025-07-03,14:20:02,2025-07-03T14:20:02,348.85,Debit,Shopping,ShopEasy,friend1@oksbi,Success,Shopping payment to ShopEasy
TXN100007,2025-02-07,15:12:06,2025-02-07T15:12:06,702.02,Debit,Groceries,BigMart,grocery@icici,Failed,Groceries payment to BigMart
TXN100008,2025-06-01,21:47:15,2025-06-01T21:47:15,1132.53,Debit,Groceries,BigMart,refund@paytm,Success,Groceries payment to BigMart
TXN100009,2024-04-13,18:01:02,2024-04-13T18:01:02,1833.99,Debit,Rent,CityRentals,shivap@ybl,Success,Rent payment to CityRentals
TXN100010,2024-08-05,01:47:36,2024-08-05T01:47:36,31.48,Debit,Travel,QuickFlights,refund@paytm,Success,Travel payment to QuickFlights
TXN100011,2025-01-30,21:43:35,2025-01-30T21:43:35,330.29,Debit,Dining,CafeBrew,salary@hdfc,Success,Dining payment to CafeBrew
TXN100012,2025-01-19,12:14:08,2025-01-19T12:14:08,376.11,Debit,Entertainment,MovieHub,grocery@icici,Success,Entertainment payment to MovieHub
TXN100013,2025-04-14,07:02:13,2025-04-14T07:02:13,1822.86,Debit,Utilities,PowerGrid,merchant@axis,Success,Utilities payment to PowerGrid
TXN100014,2024-11-19,14:54:45,2024-11-19T14:54:45,68.1,Debit,Rent,CityRentals,shivap@ybl,Success,Rent payment to CityRentals
TXN100015,2024-08-06,19:14:39,2024-08-06T19:14:39,1708.93,Debit,Education,EduWorld,grocery@icici,Success,Education payment to EduWorld
TXN100016,2025-08-17,12:00:52,2025-08-17T12:00:52,185.46,Debit,Utilities,PowerGrid,merchant@axis,Success,Utilities payment to PowerGrid
TXN100017,2025-08-11,01:13:33,2025-08-11T01:13:33,228.37,Debit,Shopping,ShopEasy,friend1@oksbi,Success,Shopping payment to ShopEasy
TXN100018,2024-05-23,23:39:48,2024-05-23T23:39:48,50.16,Debit,Health,MediCare,friend1@oksbi,Success,Health payment to MediCare
TXN100019,2024-06-29,09:42:41,2024-06-29T09:42:41,37.92,Debit,Groceries,BigMart,shivap@ybl,Success,Groceries payment to BigMart
TXN100020,2025-03-03,22:02:38,2025-03-03T22:02:38,510.96,Debit,Entertainment,MovieHub,friend1@oksbi,Success,Entertainment payment to MovieHub
TXN100021,2025-10-22,04:32:37,2025-10-22T04:32:37,493.21,Credit,Salary,AcmeCorp,merchant@axis,Success,Salary payment to AcmeCorp
TXN100022,2025-06-23,23:31:38,2025-06-23T23:31:38,2139.2,Debit,Dining,CafeBrew,friend1@oksbi,Success,Dining payment to CafeBrew
TXN100023,2024-06-11,06:36:04,2024-06-11T06:36:04,591.22,Debit,Shopping,ShopEasy,refund@paytm,Success,Shopping payment to ShopEasy
TXN100024,2024-10-26,14:56:43,2024-10-26T14:56:43,1700.89,Debit,Rent,CityRentals,grocery@icici,Failed,Rent payment to CityRentals
TXN100025,2025-06-21,07:23:24,2025-06-21T07:23:24,901.9,Debit,Utilities,PowerGrid,grocery@icici,Success,Utilities payment to PowerGrid
TXN100026,2024-07-08,03:23:19,2024-07-08T03:23:19,1650.42,Debit,Travel,QuickFlights,friend1@oksbi,Success,Travel payment to QuickFlights
TXN100027,2025-09-04,12:20:08,2025-09-04T12:20:08,516.54,Debit,Dining,CafeBrew,grocery@icici,Failed,Dining payment to CafeBrew
TXN100028,2024-04-23,04:20:51,2024-04-23T04:20:51,1661.1,Debit,Groceries,BigMart,salary@hdfc,Success,Groceries payment to BigMart
TXN100029,2025-03-15,14:26:02,2025-03-15T14:26:02,108.52,Debit,Dining,CafeBrew,salary@hdfc,Success,Dining payment to CafeBrew
TXN100030,2025-05-09,10:28:34,2025-05-09T10:28:34,304.03,Debit,Utilities,PowerGrid,shivap@ybl,Success,Utilities payment to PowerGrid
TXN100031,2025-09-16,09:54:50,2025-09-16T09:54:50,1550.99,Debit,Health,MediCare,salary@hdfc,Success,Health payment to MediCare
TXN100032,2025-07-13,13:25:53,2025-07-13T13:25:53,609.26,Debit,Utilities,PowerGrid,refund@paytm,Success,Utilities payment to PowerGrid
TXN100033,2025-02-28,14:08:53,2025-02-28T14:08:53,107.1,Debit,Shopping,ShopEasy,shivap@ybl,Success,Shopping payment to ShopEasy
TXN100034,2025-05-07,00:04:17,2025-05-07T00:04:17,1173.32,Debit,Travel,QuickFlights,shivap@ybl,Success,Travel payment to QuickFlights
TXN100035,2024-07-21,17:56:31,2024-07-21T17:56:31,715.64,Debit,Entertainment,MovieHub,shivap@ybl,Success,Entertainment payment to MovieHub
TXN100036,2025-01-16,16:51:28,2025-01-16T16:51:28,1103.0,Debit,Utilities,PowerGrid,refund@paytm,Success,Utilities payment to PowerGrid
TXN100037,2024-12-17,04:18:14,2024-12-17T04:18:14,3.73,Debit,Shopping,ShopEasy,friend1@oksbi,Success,Shopping payment to ShopEasy
TXN100038,2025-02-21,23:19:27,2025-02-21T23:19:27,22.0,Debit,Travel,QuickFlights,merchant@axis,Success,Travel payment to QuickFlights
